State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Kentucky,ADAIR,Adair County Sheriff's Office,KY0010000,30,14,16,35,16,19,1,0,1,0,0,0,0,0,0,0,0,0,67,14,53,33,3,30,69,3,66,3,1,2,169,20,149,37.105559,-85.28138
Kentucky,ADAIR,Columbia Police Department,KY0010100,48,20,28,53,21,32,0,0,0,0,0,0,4,1,3,0,0,0,113,14,99,24,6,18,86,5,81,4,1,3,223,25,198,37.10318,-85.30553
Kentucky,ALLEN,Allen County Sheriff's Office,KY0020000,63,23,40,106,33,73,13,3,10,3,1,2,10,1,9,2,1,1,424,46,378,147,14,133,453,27,426,35,7,28,1024,87,937,36.748547,-86.19544
Kentucky,ALLEN,Scottsville Police Department,KY0020100,72,25,47,110,31,79,15,3,12,0,0,0,7,1,6,5,2,3,293,40,253,114,15,99,778,77,701,23,3,20,1185,132,1053,36.75077,-86.192458
Kentucky,ANDERSON,Anderson County Sheriff's Office,KY0030000,38,17,21,42,18,24,1,0,1,0,0,0,2,1,1,0,0,0,121,18,103,45,5,40,151,17,134,2,1,1,317,40,277,38.035694,-84.89583
Kentucky,ANDERSON,Lawrenceburg Police Department,KY0030100,53,21,32,86,29,57,5,1,4,0,0,0,6,1,5,0,0,0,223,50,173,146,14,132,570,94,476,18,4,14,939,158,781,38.03742,-84.894905
Kentucky,BALLARD,Ballard County Sheriff's Office,KY0040000,73,28,45,92,33,59,5,1,4,0,0,0,11,4,7,0,0,0,206,33,173,68,13,55,253,18,235,17,5,12,527,64,463,37.05112,-89.009178
Kentucky,BALLARD,La Center Police Department,KY0040300,2,1,1,5,2,3,0,0,0,0,0,0,1,0,1,0,0,0,10,1,9,0,0,0,11,2,9,3,1,2,21,3,18,37.05112,-89.009178
Kentucky,BARREN,Barren County Sheriff's Office,KY0050000,179,81,98,234,100,134,8,2,6,2,1,1,21,7,14,8,3,5,444,58,386,191,17,174,464,39,425,32,11,21,1099,114,985,36.995705,-85.91198
Kentucky,BARREN,Glasgow Police Department,KY0050100,217,72,145,348,101,247,26,4,22,2,0,2,41,8,33,5,2,3,699,81,618,300,48,252,3310,744,2566,67,11,56,4309,873,3436,36.963614,-85.92499
