State,County,Agency Name,Ori,Division Name,Region Name,Region Description,Agency Type Name,NIBRS,NIBRS Start Date,Latitude,Longitude
Kentucky,ADAIR,Adair County Sheriff's Office,KY0010000,East South Central,South,Region III,County,TRUE,2009-01-01T00:00:00.000Z,37.105559,-85.28138
Kentucky,ADAIR,Columbia Police Department,KY0010100,East South Central,South,Region III,City,TRUE,2009-01-01T00:00:00.000Z,37.10318,-85.30553
Kentucky,ALLEN,Allen County Sheriff's Office,KY0020000,East South Central,South,Region III,County,TRUE,2009-01-01T00:00:00.000Z,36.748547,-86.19544
Kentucky,ALLEN,Scottsville Police Department,KY0020100,East South Central,South,Region III,City,TRUE,2009-01-01T00:00:00.000Z,36.75077,-86.192458
Kentucky,ANDERSON,Anderson County Sheriff's Office,KY0030000,East South Central,South,Region III,County,TRUE,2009-01-01T00:00:00.000Z,38.035694,-84.89583
Kentucky,ANDERSON,Lawrenceburg Police Department,KY0030100,East South Central,South,Region III,City,TRUE,2009-01-01T00:00:00.000Z,38.03742,-84.894905
Kentucky,BALLARD,Ballard County Sheriff's Office,KY0040000,East South Central,South,Region III,County,TRUE,2009-01-01T00:00:00.000Z,37.05112,-89.009178
Kentucky,BALLARD,La Center Police Department,KY0040300,East South Central,South,Region III,City,TRUE,2010-07-01T00:00:00.000Z,37.05112,-89.009178
Kentucky,BARREN,Barren County Sheriff's Office,KY0050000,East South Central,South,Region III,County,TRUE,2009-01-01T00:00:00.000Z,36.995705,-85.91198
Kentucky,BARREN,Glasgow Police Department,KY0050100,East South Central,South,Region III,City,TRUE,2009-01-01T00:00:00.000Z,36.963614,-85.92499
Kentucky,BARREN,Cave City Police Department,KY0050200,East South Central,South,Region III,City,TRUE,2009-01-01T00:00:00.000Z,36.963614,-85.92499
Kentucky,BARREN,Barren County Constable District 1,KY0051000,East South Central,South,Region III,Other,FALSE,,,
Kentucky,BARREN,Barren County Drug Task Force,KY0051100,East South Central,South,Region III,Other,TRUE,2009-01-01T00:00:00.000Z,36.99597,-85.91205
Kentucky,BATH,Bath County Sheriff's Office,KY0060000,East South Central,South,Region III,County,TRUE,2014-01-01T00:00:00.000Z,38.152249,-83.737641
Kentucky,BATH,Owingsville Police Department,KY0060100,East South Central,South,Region III,City,TRUE,2009-01-01T00:00:00.000Z,38.152249,-83.737641
Kentucky,BELL,Bell County Sheriff's Office,KY0070000,East South Central,South,Region III,County,TRUE,2009-01-01T00:00:00.000Z,36.72268,-83.681046
