College,Degree Type,State/Country,Accreditation,Latitude,Longitude
Bevill State Community College,Associate,Alabama,Accredited,33.72584195,-87.81840246008414
Bishop State Community College,Associate,Alabama,Accredited,30.694711599999998,-88.05754946916582
Calhoun Community College,Associate,Alabama,Accredited,34.6508577,-86.94890855916518
Central Alabama Community College,Associate,Alabama,Accredited,32.9245681,-85.9471861
Chattahoochee Valley Community College,Associate,Alabama,Accredited,32.4237871,-85.03072906095193
Coastal Alabama Community College,Associate,Alabama,Accredited,31.4890523,-87.324707
Gadsden State Community College,Associate,Alabama,Accredited,34.1664902,-85.66487742712587
George C. Wallace Community College,Associate,Alabama,Accredited,32.4473513,-87.01197305106993
George Corley Wallace Community College-Selma,Associate,Alabama,Accredited,-1,-1
Herzing University – Birmingham,Associate,Alabama,Accredited,-1,-1
J.F. Drake State Community and Technical College,Associate,Alabama,Accredited,-1,-1
Jefferson State Community College,Associate,Alabama,Accredited,33.65672885,-86.70774322814671
Lawson State Community College,Associate,Alabama,Accredited,33.374820299999996,-86.99296732984362
Lurleen B. Wallace Community College,Associate,Alabama,Accredited,31.323364849999997,-86.45117848069391
Northeast Alabama Community College,Associate,Alabama,Accredited,34.5459194,-85.9096966
Northwest-Shoals Community College,Associate,Alabama,Accredited,34.343733400000005,-87.7309114205456
Shelton State Community College,Associate,Alabama,Accredited,33.120647149999996,-87.56134941852409
Snead State Community College,Associate,Alabama,Accredited,34.2006503,-86.1691433
Southern Union State Community College,Associate,Alabama,Accredited,33.128798450000005,-85.57220530185182
Troy University,Baccalaureate,Alabama,Accredited,31.80222345,-85.95568668214796
Troy University,Master’s/Post-Master’s Certificate,Alabama,Accredited,31.80222345,-85.95568668214796
Troy University,Associate,Alabama,Accredited,31.80222345,-85.95568668214796
Troy University,Clinical Doctorate,Alabama,Accredited,31.80222345,-85.95568668214796
Tuskegee University,Baccalaureate,Alabama,Accredited,32.4301095,-85.70673351537872
"University of West Alabama, The",Associate,Alabama,Accredited,-1,-1
"University of West Alabama, The",Baccalaureate,Alabama,Accredited,-1,-1
Wallace State Community College,Associate,Alabama,Accredited,34.075099,-86.7822207
Alaska Pacific University,Baccalaureate,Alaska,Accredited,61.191534149999995,-149.80079000454944
Alaska Pacific University,Associate,Alaska,Accredited,61.191534149999995,-149.80079000454944
Prospect Education – Charter College,Associate,Alaska,Accredited,-1,-1
University of Alaska Anchorage,Master’s/Post-Master’s Certificate,Alaska,Accredited,61.19037895,-149.82232541071522
University of Alaska Anchorage,Baccalaureate,Alaska,Accredited,61.19037895,-149.82232541071522
University of Alaska Anchorage,Associate,Alaska,Accredited,61.19037895,-149.82232541071522
Arizona Western College,Associate,Arizona,Accredited,32.6888368,-114.4965474
Carrington College – Mesa,Associate,Arizona,Accredited,33.3926966,-111.8540764
Carrington College – Phoenix,Associate,Arizona,Accredited,-1,-1
Carrington College – Tucson,Associate,Arizona,Accredited,-1,-1
Central Arizona College,Associate,Arizona,Accredited,31.35971,-109.6531605
Chandler-Gilbert Community College,Associate,Arizona,Accredited,33.2954838,-111.7905656
Cochise College,Associate,Arizona,Accredited,31.9525553,-110.34030271072552
Eastern Arizona College,Associate,Arizona,Accredited,32.84556775,-109.76204377802665
Estrella Mountain Community College,Associate,Arizona,Accredited,33.48080565,-112.34571277240862
Gateway Community College,Associate,Arizona,Accredited,33.449923999999996,-111.99765665410214
Glendale Community College,Associate,Arizona,Accredited,33.57097265,-112.19062372210072
Mesa Community College,Associate,Arizona,Accredited,33.389666,-111.87020543176769
Mohave Community College,Associate,Arizona,Accredited,36.9810463,-112.97326042548467
Northland Pioneer College,Associate,Arizona,Accredited,33.82573395,-109.97340874883227
Paradise Valley Community College – Maricopa Community Colleges,Associate,Arizona,Accredited,-1,-1
Phoenix College,Associate,Arizona,Accredited,33.48235205,-112.0891861692636
Pima County Community College District,Associate,Arizona,Accredited,-1,-1
Scottsdale Community College,Associate,Arizona,Accredited,33.5119416,-111.88270684508473
Yavapai College,Associate,Arizona,Accredited,34.5472599,-112.4549
Arkansas Northeastern College,Associate,Arkansas,Accredited,35.8984097,-89.92108938281781
Arkansas State University,Associate,Arkansas,Accredited,35.8436307,-90.6743528904416
Arkansas State University,Baccalaureate,Arkansas,Accredited,35.8436307,-90.6743528904416
Arkansas State University,Master’s/Post-Master’s Certificate,Arkansas,Accredited,35.8436307,-90.6743528904416
